State,Covered Entity Type,Individuals Affected,Type of Breach,Location of Breached Information,Business Associate Present
4.0,0,8.278620809600418e-05,0,0,0
14.0,0,0.0003751467455106744,0,0,0
39.0,0,0.0034272794469324755,0,1,1
20.0,1,0.0,0,1,1
14.0,0,0.0003914083221009609,0,1,0
9.0,0,6.939432149223879e-05,0,0,0
20.0,1,4.2175746771598764e-05,0,0,1
1.0,2,0.0003471455280664377,1,2,0
18.0,0,8.696030262185312e-08,4,4,0
0.0,0,0.0001550502195747641,3,13,0
27.0,0,0.0002608809078655594,0,1,1
23.0,0,4.704552371842254e-05,0,1,1
10.0,0,0.003174051045697639,0,1,1
3.0,0,0.005956780729596939,0,0,0
40.0,0,9.90477846862907e-05,0,1,0
20.0,1,0.08729109961302665,0,1,1
20.0,1,4.904561067872516e-05,1,4,1
20.0,0,4.165398495586765e-05,1,14,1
22.0,0,1.695725901126136e-05,1,2,1
14.0,0,0.0009293447541197443,1,5,0
18.0,0,0.0017794686725509804,0,0,0
15.0,0,5.7393799730423065e-06,0,1,0
10.0,0,0.00023479281707900344,1,4,0
9.0,0,0.02600173920605244,0,1,1
34.0,0,0.02265785468933432,0,1,1
16.0,2,2.3827122918387756e-05,1,6,0
31.0,0,1.478325144571503e-05,1,2,0
13.0,0,9.391712683160138e-05,2,15,0
20.0,0,1.608765598504283e-05,0,1,0
10.0,0,0.00015261533110135224,1,0,0
15.0,2,0.005221531370929171,0,0,1
30.0,1,0.07635549371711814,0,1,1
22.0,0,3.1218748641245274e-05,1,4,1
41.0,1,0.000265837645115005,1,2,1
30.0,1,1.2174442367059437e-06,1,1,1
25.0,0,8.36558111222227e-05,0,0,0
1.0,1,0.0024486282012261404,1,2,1
31.0,0,5.452410974390191e-05,0,0,0
10.0,0,0.0001239184312361407,1,12,0
39.0,0,0.018780990477846864,0,1,0
3.0,0,0.00045819383451454413,0,1,0
15.0,1,0.0006541153963215792,1,2,1
27.0,0,0.0006522022696638985,0,0,0
36.0,0,0.006739945215009349,0,1,1
42.0,0,0.0,0,1,0
9.0,1,7.991651810948302e-05,1,2,1
10.0,0,0.00022400973955389366,0,0,0
3.0,1,0.0009404756728553415,0,1,1
6.0,0,2.087047262924475e-06,2,2,0
22.0,0,2.5218487760337408e-06,3,4,0
0.0,0,0.02566346362885343,0,1,0
25.0,0,0.0001304404539327797,2,8,0
11.0,0,0.00011878777338145137,0,0,0
24.0,0,0.008026001130483934,0,0,0
31.0,0,0.0031283099265185443,0,11,0
