Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Type of Breach,Location of Breached Information,Business Associate Present
37,18.0,0.0,9.51782688976453e-05,0.0,4.0,0
38,6.0,1.0,4.3147481900265866e-05,0.0,0.0,0
39,4.0,0.0,4.060939472966199e-07,2.0,4.0,0
40,19.0,0.0,1.7766610194227122e-05,2.0,4.0,0
41,4.0,0.0,3.807130755905812e-05,0.0,1.0,0
42,20.0,0.0,0.0,0.0,0.0,0
43,18.0,0.0,0.00015330046510447402,0.0,3.0,0
44,21.0,1.0,0.00010816058477528411,,1.0,0
45,22.0,1.0,0.00011421392267717434,0.0,3.0,0
46,8.0,0.0,6.852835360630461e-07,0.0,0.0,0
47,20.0,0.0,1.5863044816274215e-06,0.0,3.0,0
48,0.0,0.0,0.00026015393498689715,0.0,2.0,0
49,18.0,0.0,4.187843831496393e-05,2.0,0.0,0
50,23.0,0.0,5.812219620682872e-05,0.0,3.0,0
51,18.0,0.0,2.664991529134068e-05,0.0,3.0,0
52,24.0,0.0,5.799529184829853e-06,3.0,1.0,0
53,25.0,0.0,2.4936706451183064e-05,0.0,3.0,0
54,25.0,2.0,3.401036808609192e-06,,9.0,1
55,15.0,0.0,2.8845360693913033e-05,0.0,8.0,0
56,5.0,0.0,9.51782688976453e-05,4.0,0.0,0
57,13.0,0.0,7.994974587402204e-05,1.0,0.0,0
58,9.0,0.0,0.0010589534197552016,2.0,5.0,0
59,0.0,0.0,5.774148313123814e-06,0.0,3.0,0
60,26.0,2.0,2.0304697364830995e-06,2.0,0.0,1
61,20.0,1.0,0.004366512477871052,0.0,5.0,0
62,22.0,0.0,1.2690435853019373e-06,2.0,5.0,0
63,24.0,0.0,0.0006810322400522846,0.0,3.0,0
64,10.0,0.0,3.926420852924194e-05,0.0,3.0,0
65,16.0,1.0,0.00014594001230972277,0.0,0.0,0
66,27.0,1.0,2.9822524254595526e-05,5.0,0.0,0
67,4.0,0.0,0.00027299665607015275,0.0,4.0,0
68,4.0,0.0,6.281765747244589e-05,0.0,3.0,0
69,28.0,0.0,5.898514584483404e-05,0.0,2.0,0
70,29.0,1.0,2.9822524254595526e-06,0.0,11.0,0
71,7.0,2.0,1.7436658862048616e-05,0.0,5.0,1
72,0.0,0.0,1.1802105343308016e-05,6.0,0.0,0
73,7.0,0.0,0.0,0.0,7.0,0
74,13.0,2.0,0.002279341873996662,0.0,2.0,1
75,18.0,0.0,8.629496380053172e-07,0.0,0.0,0
76,30.0,0.0,1.8908749420998865e-06,0.0,0.0,0
77,0.0,0.0,4.6954612656171676e-05,0.0,3.0,0
78,3.0,0.0,2.4314875094385117e-05,7.0,12.0,0
79,4.0,0.0,0.0005012722161942652,0.0,1.0,0
80,0.0,2.0,1.979707993071022e-06,0.0,3.0,1
81,27.0,0.0,1.941636685511964e-06,0.0,3.0,0
82,20.0,0.0,2.7005247495225225e-05,2.0,0.0,0
83,31.0,,3.8071307559058118e-06,0.0,3.0,1
84,8.0,1.0,5.989885722625144e-05,1.0,5.0,0
85,0.0,0.0,4.546983166136841e-05,5.0,0.0,0
86,13.0,0.0,6.345217926509686e-06,0.0,3.0,0
87,32.0,0.0,7.677713691076721e-06,0.0,3.0,0
88,28.0,0.0,2.639610657428029e-06,3.0,1.0,0
89,33.0,0.0,0.000767745988235966,0.0,3.0,0
90,18.0,1.0,0.015475986522757125,0.0,3.0,0
91,9.0,0.0,2.284278453543487e-05,0.0,3.0,0
92,5.0,2.0,0.0016496932087132533,0.0,5.0,1
93,29.0,1.0,0.0002003946725550289,2.0,0.0,0
94,6.0,0.0,1.5799592637009117e-05,1.0,3.0,0
95,10.0,2.0,0.00012709471506798902,0.0,3.0,1
96,20.0,1.0,6.5990266435700735e-06,0.0,13.0,0
97,33.0,0.0,6.357908362362706e-06,2.0,9.0,0
98,28.0,0.0,1.937829554756058e-05,0.0,3.0,0
99,0.0,0.0,1.2690435853019373e-06,0.0,1.0,0
100,26.0,2.0,0.00017132088401576153,1.0,5.0,1
101,34.0,0.0,8.91630023033141e-05,0.0,1.0,0
102,5.0,2.0,5.545720467769466e-06,2.0,9.0,1
103,15.0,0.0,6.843952055533347e-05,0.0,3.0,0
104,4.0,0.0,6.345217926509686e-06,2.0,0.0,0
105,6.0,0.0,1.3159981979581088e-05,0.0,14.0,0
106,4.0,2.0,0.0003616774218110521,8.0,2.0,1
107,20.0,0.0,2.6180369164778963e-05,0.0,8.0,0
108,20.0,0.0,3.8071307559058118e-06,0.0,2.0,0
109,19.0,0.0,4.225915139055451e-05,0.0,3.0,0
110,18.0,0.0,1.963210426462097e-05,2.0,0.0,0
111,30.0,2.0,0.0013321150514914435,0.0,4.0,1
112,7.0,0.0,2.144683659160274e-06,0.0,8.0,0
113,29.0,2.0,7.576190204252565e-06,2.0,0.0,1
114,5.0,2.0,0.010146003464488988,1.0,10.0,1
115,20.0,0.0,0.00029509070489025947,0.0,4.0,0
116,33.0,2.0,8.883305097113561e-06,5.0,0.0,1
117,0.0,0.0,0.00033629655010501333,3.0,1.0,0
118,3.0,1.0,5.076174341207749e-07,0.0,3.0,0
119,20.0,0.0,0.00020710791312127615,0.0,4.0,0
120,24.0,1.0,7.451823932892976e-05,,0.0,0
121,0.0,0.0,8.087614769129245e-05,0.0,4.0,0
122,0.0,0.0,1.4543239487560201e-05,0.0,3.0,0
123,,2.0,7.2716197437801005e-06,1.0,5.0,1
124,20.0,2.0,2.7043318802784283e-05,0.0,0.0,1
125,8.0,0.0,1.3832575079791115e-05,0.0,0.0,0
126,35.0,1.0,0.0003959415986142044,3.0,1.0,0
127,0.0,0.0,2.461944555485758e-06,0.0,3.0,0
128,33.0,0.0,1.0266562605092672e-05,2.0,3.0,0
129,5.0,1.0,7.614261511811623e-07,2.0,5.0,0
130,28.0,0.0,2.0165102570447782e-05,0.0,3.0,0
131,26.0,2.0,0.00013883336823203193,2.0,2.0,1
132,13.0,0.0,1.9923984289240414e-06,4.0,0.0,0
