Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Type of Breach,Location of Breached Information,Business Associate Present
308,32.0,1,0.02733414496282447,0,0,1
309,27.0,1,0.0001602678377320753,0,0,1
310,32.0,1,0.00704830644810644,0,0,1
311,3.0,1,0.006144614983260141,0,0,1
312,32.0,1,0.00041236575503282753,0,0,1
313,32.0,1,0.006351232662289665,0,0,1
314,32.0,1,0.004067307274229315,0,0,1
315,32.0,1,0.0004687160311317883,0,0,1
316,29.0,1,1.730510022174877e-05,0,0,1
317,37.0,1,6.339406061133093e-05,0,0,1
318,38.0,1,0.0001854863254924127,0,0,1
319,1.0,1,0.0001293099699986956,0,0,1
320,32.0,1,0.012276098960824385,0,0,1
321,3.0,1,0.007558589503891474,0,0,1
322,45.0,1,0.0002745336753771903,0,0,1
323,17.0,1,0.007042654028436019,0,0,1
324,43.0,1,0.0038095569372581417,0,0,0
325,32.0,1,0.015244401930518719,0,0,1
326,12.0,1,0.001575981564415844,0,0,1
327,32.0,1,0.007568589938692987,0,0,1
328,3.0,1,0.0003279273011870081,0,1,0
329,30.0,1,0.00020157398147745554,0,6,0
330,22.0,1,0.00022270533501456586,0,0,1
331,6.0,1,0.0037538153832775336,0,0,1
332,3.0,1,0.00232566633331884,0,0,1
333,22.0,1,0.004665507195965042,0,0,1
334,35.0,1,0.00109056915518066,0,0,1
335,6.0,1,1.695725901126136e-05,0,1,0
336,11.0,1,0.004727944693247533,0,0,1
337,13.0,2,0.005010913517979043,0,1,1
338,32.0,1,0.0019566068089916953,1,7,0
339,6.0,1,0.0028762120092177923,0,0,1
340,9.0,1,0.029826775077177268,0,0,1
341,9.0,1,0.008099656506804644,0,0,1
342,9.0,1,0.0002908822122700987,0,0,1
343,9.0,1,0.00018696465063698423,0,1,0
344,1.0,1,0.0003478412104874125,0,0,1
345,16.0,1,0.021241010478716467,0,0,1
346,17.0,1,0.00796243314926736,0,0,1
347,17.0,2,0.0002960998304274099,0,1,1
348,38.0,1,0.0006328101221792252,0,1,0
349,46.0,1,5.0089134310187396e-05,4,Paper/Films,0
350,10.0,1,0.0002155745901995739,1,Paper/Films,0
351,11.0,1,0.0004782816644201922,0,1,0
352,25.0,1,0.0003092308361233097,2,16,0
353,8.0,1,0.02675498934736293,0,19,0
354,0.0,1,0.004540284360189574,0,0,1
355,13.0,1,0.00020600895691117005,2,20,0
356,21.0,1,0.009706856819861734,0,1,0
357,14.0,1,0.021245532414452803,0,0,0
358,47.0,1,9.026479412148354e-05,0,0,0
359,11.0,1,0.0002174007565546328,0,1,0
360,27.0,2,4.530631766598548e-05,0,0,1
361,9.0,1,0.0012609243880168702,0,0,0
362,13.0,1,2.087047262924475e-05,2,Paper/Films,0
363,16.0,1,0.015538849515196313,0,0,1
364,17.0,1,0.0013982347058567764,0,1,0
365,16.0,0,1.2870124788034263e-05,1,1,0
366,27.0,0,8.696030262185312e-08,0,6,0
367,17.0,1,0.000860298273837993,1,1,0
368,32.0,1,5.7741640940910475e-05,0,13,1
369,27.0,2,0.012053915387625548,0,1,1
370,1.0,1,0.00011026566372450976,3,15,0
371,17.0,1,0.015350493499717378,0,0,0
372,17.0,2,0.0006608982999260838,0,1,1
373,1.0,1,0.0001393104048002087,0,1,0
374,10.0,1,0.00012235314578894733,1,Paper/Films,1
375,1.0,1,0.0013442323579286055,1,6,0
376,18.0,1,3.7392930127396842e-06,1,1,0
377,29.0,1,3.600156528544719e-05,1,Paper/Films,0
378,15.0,1,2.365320231314405e-05,1,7,0
